start,fillOpen,fillClose,fillHigh,fillLow,oracleOpen,oracleClose,oracleHigh,oracleLow,quoteVolume,baseVolume,resolution
1707868800000,112.536200,117.464600,119.197600,110.758300,112.532544,117.073978,118.693101,110.733594,70006956.529736,604300.700000000,D
1707955200000,117.464600,113.922500,119.084357,111.537600,117.073978,113.621016,118.402147,111.629598,40236091.514784,348423.300000000,D
1708041600000,113.922500,110.613100,114.644600,108.072700,113.621016,110.395317,114.322173,108.254632,40238470.580910,361071.100000000,D
1708128000000,110.613100,108.971500,111.372000,105.840900,110.395317,108.961789,111.119021,105.851736,23647291.434297,217625.100000000,D
1708214400000,108.971500,112.334000,114.709851,107.582300,108.961789,112.231550,114.053727,107.550000,32814618.412280,294827.600000000,D
1708300800000,112.334000,111.949300,115.284700,110.879400,112.231550,111.514759,114.809850,110.890062,29478472.907631,261693.800000000,D
1708387200000,111.949300,108.387185,112.480600,103.767584,111.514759,108.304873,112.103478,104.493367,47386820.649216,437449.800000000,D
1708473600000,108.387185,105.087200,108.594800,100.265980,108.304873,105.034877,108.388956,100.269491,69588952.806133,669516.800000000,D
1708560000000,105.087200,101.698000,107.404400,101.500000,105.034877,101.701500,107.061153,101.489343,36244940.450388,347625.400000000,D
1708646400000,101.698000,99.921102,103.186300,98.804300,101.701500,99.883517,103.062038,98.841169,38083767.854375,374956.800000000,D
1708732800000,99.921102,104.058100,104.779300,98.435800,99.883517,104.023750,104.711444,98.482650,26506994.268632,259591.300000000,D
1708819200000,104.058100,103.515400,104.516500,102.094400,104.023750,103.472504,104.414300,102.074999,28530995.534667,276473.100000000,D
1708905600000,103.515400,110.019300,111.176700,100.311300,103.472504,109.914441,110.834728,100.315029,64296464.192541,606984.600000000,D
1708992000000,110.019300,108.546600,112.895645,105.275100,109.914441,108.407640,112.441596,105.455743,61785993.551764,562367.300000000,D
1709078400000,108.546600,119.029300,119.111882,106.991000,108.407640,118.723403,118.723403,107.320334,85048074.995123,756961.500000000,D
1709164800000,119.029300,125.880600,134.824400,117.508300,118.723403,125.675306,134.638354,117.396983,143491982.813552,1129226.000000000,D
1709251200000,125.880600,130.088500,138.137000,125.779800,125.675306,129.485537,137.792070,125.675306,84610802.374758,635298.800000000,D
1709337600000,130.088500,130.403000,132.129500,127.416925,129.485537,130.125808,131.695967,127.455440,44415128.181626,343216.000000000,D
1709424000000,130.403000,131.065000,132.764500,124.992956,130.125808,130.227051,132.147531,125.015000,45129136.080892,347204.300000000,D
1709510400000,131.065000,133.537200,136.920200,127.504800,130.227051,133.104880,135.002981,127.568752,59299295.378859,450715.400000000,D
