Unnamed: 0,time,low,high,open,close,volume
0,1704067200,102.333,104.1251,102.8,103.2203,1841.7
1,1704068100,102.1987,103.255,103.2203,102.5012,874.6
2,1704069000,102.3709,103.11,102.5012,102.8554,1306.0
3,1704069900,102.4094,102.9756,102.8554,102.55,856.3
4,1704070800,102.3061,102.979,102.55,102.979,1709.4
5,1704071700,102.6611,103.2,102.979,102.9437,738.6
6,1704072600,102.9437,104.9006,102.9437,104.8323,2954.6
7,1704073500,104.4225,105.0299,104.8323,104.497,1532.3
8,1704074400,103.8161,104.5379,104.497,103.9,1008.0
9,1704075300,103.755,104.442373,103.9,104.1,2615.3
10,1704076200,103.982,104.5,104.1,104.1929,764.2
11,1704077100,103.7909,104.5916,104.1929,104.0781,744.0
12,1704078000,103.6753,104.2135,104.0781,103.6753,111.0
13,1704078900,103.055,103.6857,103.6753,103.35,3105.0
14,1704079800,103.2428,104.0118,103.35,103.2428,820.9
15,1704080700,103.018,103.5282,103.2428,103.5282,182.5
16,1704081600,103.018,104.4544,103.5282,103.2345,822.0
17,1704082500,102.1801,103.2545,103.2345,102.4158,2958.1
18,1704083400,102.4158,102.9887,102.4158,102.5309,184.7
19,1704084300,102.5309,103.0455,102.5309,103.0455,442.7
20,1704085200,103.0237,103.2615,103.0455,103.2581,336.1
21,1704086100,102.7925,103.3101,103.2581,102.8376,621.3
22,1704087000,102.3446,102.8376,102.8376,102.4,2795.1
23,1704087900,101.6912,102.4,102.4,101.7436,3286.0
24,1704088800,101.6811,102.276543,101.7436,101.9327,1075.7
25,1704089700,101.9327,102.3748,101.9327,102.266,363.7
26,1704090600,102.2198,102.79859,102.266,102.4643,125.2
27,1704091500,102.4643,102.7765,102.4643,102.5,145.5
28,1704092400,102.5,103.322413,102.5,102.925,93.8
29,1704093300,102.2108,102.925,102.925,102.696322,167.4
30,1704094200,102.63557,103.9584,102.696322,102.63557,762.9
31,1704095100,102.3272,103.0,102.63557,102.8327,99.8
32,1704096000,102.8327,103.2872,102.8327,103.049,23.1
33,1704096900,102.7201,103.049,103.049,102.741057,143.5
34,1704097800,102.1503,103.0259,102.741057,102.2026,2345.9
35,1704098700,102.1123,102.7283,102.2026,102.5872,376.0
36,1704099600,102.004101,102.7525,102.5872,102.22072,326.1
37,1704100500,102.22072,102.8236,102.22072,102.458932,163.2
38,1704101400,102.458932,103.932,102.458932,103.899,1652.1
39,1704102300,103.666245,104.3036,103.899,104.1911,2532.1
40,1704103200,104.1911,104.9735,104.1911,104.792,1180.6
41,1704104100,104.16585,104.857413,104.792,104.2518,1851.6
42,1704105000,104.0869,104.577082,104.2518,104.5589,898.1
43,1704105900,104.0713,104.6524,104.5589,104.249,1352.0
44,1704106800,104.249,104.7979,104.249,104.73,742.0
45,1704107700,103.97365,104.7957,104.73,104.0995,962.4
46,1704108600,103.9176,104.39144,104.0995,104.2306,1163.6
47,1704109500,104.0863,104.5655,104.2306,104.4973,1146.3
48,1704110400,104.121959,104.843109,104.4973,104.313639,1228.5
49,1704111300,104.2531,105.1434,104.313639,104.791963,427.3
50,1704112200,104.352127,105.2238,104.791963,105.178,574.6
51,1704113100,104.8783,106.2149,105.178,105.285392,4800.0
52,1704114000,104.744347,105.715,105.285392,105.6078,695.2
53,1704114900,105.4282,106.0759,105.6078,106.0759,267.5
54,1704115800,105.6749,106.2,106.0759,106.1346,263.1
55,1704116700,105.6,106.1346,106.1346,105.6,2945.3
56,1704117600,104.716439,105.6,105.6,105.119,1404.8
57,1704118500,104.586883,105.119,105.119,104.73867,1064.7
58,1704119400,104.6222,105.117313,104.73867,104.8353,233.9
59,1704120300,104.6,104.9015,104.8353,104.66995,271.6
60,1704121200,104.5355,105.3289,104.66995,105.1443,607.0
61,1704122100,105.1323,105.9,105.1443,105.795,491.2
62,1704123000,105.241,106.2411,105.795,106.2,1692.1
63,1704123900,105.9585,107.176961,106.2,106.3135,555.4
64,1704124800,105.996606,109.5234,106.3135,107.746,3441.4
65,1704125700,107.003,108.672293,107.746,107.452596,4503.0
66,1704126600,107.132688,107.704401,107.452596,107.289539,2022.2
67,1704127500,106.3832,107.3702,107.289539,106.5548,6622.8
68,1704128400,106.519845,106.8504,106.5548,106.60372,1164.1
69,1704129300,106.1925,106.728913,106.60372,106.5124,612.9
70,1704130200,106.2912,106.645,106.5124,106.3205,688.5
71,1704131100,106.3109,107.2813,106.3205,107.2755,1808.7
72,1704132000,107.2755,108.1361,107.2755,108.0649,3403.7
73,1704132900,107.782165,108.4436,108.0649,108.140625,8825.2
74,1704133800,107.7734,108.247267,108.140625,108.247267,3836.0
75,1704134700,107.71365,108.247267,108.247267,107.99688,1163.5
76,1704135600,107.4919,107.99688,107.99688,107.848478,967.1
77,1704136500,107.535436,109.0,107.848478,108.7266,1340.1
78,1704137400,108.4956,109.009173,108.7266,108.992,5759.9
79,1704138300,108.722375,109.7051,108.992,109.604825,12757.9
80,1704139200,109.161134,110.345583,109.604825,109.539443,17461.0
81,1704140100,108.2294,109.539443,109.539443,108.9777,7909.5
82,1704141000,108.6582,109.2545,108.9777,108.7427,3878.5
83,1704141900,107.9872,108.988,108.7427,108.5498,3387.2
84,1704142800,107.8908,108.88,108.5498,107.8908,754.4
85,1704143700,107.597444,108.313723,107.8908,108.2634,1127.9
86,1704144600,107.9187,108.2902,108.2634,108.014065,2959.8
87,1704145500,107.907,108.248,108.014065,108.015,1390.3
88,1704146400,107.782885,108.420819,108.015,107.879,2038.2
89,1704147300,107.4006,107.9989,107.879,107.824,696.2
90,1704148200,107.7092,108.221862,107.824,107.870005,588.7
91,1704149100,107.870005,108.34,107.870005,108.2824,196.2
92,1704150000,108.225053,108.9246,108.2824,108.6414,1656.0
93,1704150900,108.199505,109.643699,108.6414,109.5124,2686.7
94,1704151800,109.2271,110.08763,109.5124,110.048466,3447.7
95,1704152700,109.5253,110.3,110.048466,110.28,5696.5
96,1704153600,108.982644,110.3,110.28,109.271,2318.3
97,1704154500,108.952712,109.94326,109.271,109.409106,1744.0
98,1704155400,109.2389,109.75,109.409106,109.61,2794.6
99,1704156300,109.2944,110.8095,109.61,110.8095,6631.2
100,1704157200,110.545,115.21,110.8095,111.9395,20874.3
101,1704158100,111.9395,113.3475,111.9395,112.524,3894.9
102,1704159000,111.6,112.8071,112.524,112.44,3230.9
103,1704159900,110.836685,112.44,112.44,111.45,10900.1
104,1704160800,111.45,112.4,111.45,112.067,3296.3
105,1704161700,111.515,112.2262,112.067,111.9179,938.3
106,1704162600,111.9,112.5,111.9179,112.5,1929.7
107,1704163500,111.502339,112.545031,112.5,112.5,1261.5
108,1704164400,110.9264,112.569,112.5,111.456,4570.2
109,1704165300,111.000814,111.6251,111.456,111.3,805.4
110,1704166200,111.278,111.5216,111.3,111.457847,734.0
111,1704167100,111.3,111.7311,111.457847,111.7,6248.9
112,1704168000,111.3803,111.904315,111.7,111.553,1104.7
113,1704168900,111.38981,111.8898,111.553,111.8,4246.5
114,1704169800,111.6194,112.022,111.8,111.7056,3276.6
115,1704170700,111.7056,113.092,111.7056,113.0,2835.6
116,1704171600,112.7792,113.621513,113.0,113.2884,3742.6
117,1704172500,112.7329,113.2884,113.2884,112.8621,7875.5
118,1704173400,112.3757,112.86995,112.8621,112.5649,590.2
119,1704174300,112.204224,113.3229,112.5649,112.898,167.8
120,1704175200,111.9615,112.898,112.898,112.4385,2718.1
121,1704176100,112.3364,112.865932,112.4385,112.865932,1273.5
122,1704177000,112.3635,112.9013,112.865932,112.75197,803.1
123,1704177900,112.75197,113.3954,112.75197,112.9458,3100.8
124,1704178800,112.9458,114.436413,112.9458,114.436413,1219.7
125,1704179700,113.945,114.789355,114.436413,114.789355,1890.2
126,1704180600,114.125196,114.7911,114.789355,114.646537,7716.6
127,1704181500,114.477842,114.99725,114.646537,114.76,4501.4
128,1704182400,113.847951,115.102741,114.76,114.5243,7147.1
129,1704183300,114.2653,115.0,114.5243,114.87,953.3
130,1704184200,114.29845,115.120573,114.87,114.349,1509.1
131,1704185100,114.218622,114.99454,114.349,114.605611,849.9
132,1704186000,114.5405,115.2611,114.605611,115.2611,2158.9
133,1704186900,115.2611,116.95,115.2611,116.650498,2558.9
134,1704187800,116.102636,117.2269,116.650498,116.198434,2545.4
135,1704188700,115.9258,116.5973,116.198434,116.014376,975.5
136,1704189600,114.93841,116.014376,116.014376,115.8769,5912.4
137,1704190500,115.4644,116.658768,115.8769,116.01316,1141.4
138,1704191400,114.528034,116.01316,116.01316,114.6748,1905.5
139,1704192300,114.6748,115.7734,114.6748,115.569011,1298.7
140,1704193200,115.2445,115.9152,115.569011,115.695991,6114.1
141,1704194100,115.443,115.8779,115.695991,115.443,230.6
142,1704195000,113.939574,115.7012,115.443,113.939574,3841.4
143,1704195900,112.945153,114.392255,113.939574,113.704274,22286.7
